2025-06-30 (11:48:44) -->  PaksDatabase initialized
2025-06-30 (11:48:47) -->  PaksDatabase initialized
2025-06-30 (11:48:48) -->  PaksDatabase initialized
2025-06-30 (11:49:02) -->  PaksDatabase Db Connected
2025-06-30 (11:49:02) -->  PaksDatabase SELECT * FROM people where tc_no=11726865040 and deleted_at is null executed
2025-06-30 (11:49:02) -->  PaksDatabase SELECT * FROM people where tc_no=11726865040 and deleted_at is null executed
2025-06-30 (11:49:02) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:02) -->  PaksDatabase Db Connected
2025-06-30 (11:49:02) -->  PaksDatabase SELECT * FROM finger_prints where person_id= 1 and info is not null executed
2025-06-30 (11:49:02) -->  PaksDatabase SELECT * FROM finger_prints where person_id= 1 and info is not null executed
2025-06-30 (11:49:02) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:09) -->  Fingerprint Scan Error
2025-06-30 (11:49:09) -->  PaksDatabase Db Connected
2025-06-30 (11:49:09) -->  PaksDatabase SELECT * FROM crimes where person_id=1 and status=1 and deleted_at is null executed
2025-06-30 (11:49:09) -->  PaksDatabase SELECT * FROM crimes where person_id=1 and status=1 and deleted_at is null executed
2025-06-30 (11:49:09) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:13) -->  PaksDatabase Db Connected
2025-06-30 (11:49:13) -->  PaksDatabase SELECT person_id FROM black_lists WHERE person_id='1' and deleted_at is null executed
2025-06-30 (11:49:13) -->  PaksDatabase SELECT person_id FROM black_lists WHERE person_id='1' and deleted_at is null executed
2025-06-30 (11:49:13) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:13) -->  PaksDatabase Db Connected
2025-06-30 (11:49:13) -->  PaksDatabase SELECT * FROM crimes where person_id=1 and status=1 and deleted_at is null executed
2025-06-30 (11:49:13) -->  PaksDatabase SELECT * FROM crimes where person_id=1 and status=1 and deleted_at is null executed
2025-06-30 (11:49:13) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:13) -->  PaksDatabase Db Connected
2025-06-30 (11:49:13) -->  PaksDatabase SELECT id FROM crime_check_times where print_status is NULL and crime_id =11 and start_time<=NOW() and end_time>=NOW() and deleted_at is NULL executed
2025-06-30 (11:49:13) -->  PaksDatabase SELECT id FROM crime_check_times where print_status is NULL and crime_id =11 and start_time<=NOW() and end_time>=NOW() and deleted_at is NULL executed
2025-06-30 (11:49:13) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:16) -->  Fotoðraf çekme baþarýlý
2025-06-30 (11:49:16) -->  PaksDatabase Db Connected
2025-06-30 (11:49:16) -->  PaksDatabase UPDATE crime_check_times SET print_status = '1', image_path ='/Photos/11726865040/2025/6/30/20250630114913.jpg', print_time = NOW() where crime_id = '11' and print_status is NULL  and start_time<=NOW() and end_time>=NOW() and id=75 executed
2025-06-30 (11:49:16) -->  PaksDatabase UPDATE crime_check_times SET print_status = '1', image_path ='/Photos/11726865040/2025/6/30/20250630114913.jpg', print_time = NOW() where crime_id = '11' and print_status is NULL  and start_time<=NOW() and end_time>=NOW() and id=75 executed
2025-06-30 (11:49:16) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:20) -->  PaksDatabase Db Connected
2025-06-30 (11:49:20) -->  PaksDatabase SELECT person_id FROM black_lists WHERE person_id='1' and deleted_at is null executed
2025-06-30 (11:49:20) -->  PaksDatabase SELECT person_id FROM black_lists WHERE person_id='1' and deleted_at is null executed
2025-06-30 (11:49:20) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:20) -->  PaksDatabase Db Connected
2025-06-30 (11:49:20) -->  PaksDatabase SELECT * FROM crimes where person_id=1 and status=1 and deleted_at is null executed
2025-06-30 (11:49:20) -->  PaksDatabase SELECT * FROM crimes where person_id=1 and status=1 and deleted_at is null executed
2025-06-30 (11:49:20) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:20) -->  PaksDatabase Db Connected
2025-06-30 (11:49:20) -->  PaksDatabase SELECT id FROM crime_check_times where print_status is NULL and crime_id =11 and start_time<=NOW() and end_time>=NOW() and deleted_at is NULL executed
2025-06-30 (11:49:20) -->  PaksDatabase SELECT id FROM crime_check_times where print_status is NULL and crime_id =11 and start_time<=NOW() and end_time>=NOW() and deleted_at is NULL executed
2025-06-30 (11:49:20) -->  PaksDatabase Db Connection Closed..
2025-06-30 (11:49:20) -->  PaksDatabase Db Connected
2025-06-30 (11:49:20) -->  PaksDatabase SELECT id FROM crime_check_times where print_status is NULL and crime_id =11 and (date(start_time)=CURRENT_DATE() or date(end_time)=CURRENT_DATE()) and deleted_at is NULL executed
