2025-10-03 (00:00:11) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-03 (00:00:12) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-03 (00:01:12) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-03 (00:01:12) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-03 (00:02:12) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-03 (00:02:12) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-03 (00:03:12) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-03 (00:03:13) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-03 (00:04:13) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-03 (00:04:13) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 20 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 20 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 24 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 24 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 45 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 45 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '6' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '6' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 21 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 21 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 25 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 25 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '7' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '7' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 23 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 23 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '8' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '8' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '9' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '9' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase Db Connection Closed..
2025-10-03 (00:04:48) -->  PaksDatabase Db Connected
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '10' and status = 1 executed
2025-10-03 (00:04:48) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '10' and status = 1 executed
