2025-09-30 (16:33:20) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:34:20) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:34:20) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:35:20) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:35:20) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:36:21) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:36:21) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:37:21) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:37:21) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:38:21) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:38:21) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:39:21) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:39:22) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:40:22) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:40:22) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:41:20) -->  Check fingerprint module exception: is_device_open() missing 1 required positional argument: 'dev'
2025-09-30 (16:41:20) -->  Skipped fp_module control due to the lock
2025-09-30 (16:41:23) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:41:23) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:42:23) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:42:24) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:43:24) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:43:24) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:44:24) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:44:24) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
