2025-10-02 (00:00:15) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-02 (00:00:16) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-02 (00:01:16) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-02 (00:01:16) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-02 (00:02:16) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-02 (00:02:16) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-02 (00:03:16) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-02 (00:03:16) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-02 (00:04:16) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-10-02 (00:04:17) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-10-02 (00:04:33) -->  PaksDatabase Db Connected
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-10-02 (00:04:33) -->  PaksDatabase Db Connection Closed..
2025-10-02 (00:04:33) -->  PaksDatabase Db Connected
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase Db Connection Closed..
2025-10-02 (00:04:33) -->  PaksDatabase Db Connected
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase Db Connection Closed..
2025-10-02 (00:04:33) -->  PaksDatabase Db Connected
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase Db Connection Closed..
2025-10-02 (00:04:33) -->  PaksDatabase Db Connected
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 20 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 20 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase Db Connection Closed..
2025-10-02 (00:04:33) -->  PaksDatabase Db Connected
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 24 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 24 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-10-02 (00:04:33) -->  PaksDatabase Db Connection Closed..
2025-10-02 (00:04:33) -->  PaksDatabase Db Connected
