2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 12 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 12 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 13 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 13 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 18 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 18 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 14 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 14 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 15 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 15 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 16 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 16 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 17 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 17 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
